Date,Open,High,Low,Close,Adj Close,Volume
2023-06-13,15.378000,15.590000,15.374000,15.562000,15.562000,13145347
2023-06-14,15.638000,15.920000,15.590000,15.766000,15.766000,11847228
2023-06-15,15.750000,15.782000,15.486000,15.732000,15.732000,8520618
2023-06-16,15.772000,15.930000,15.680000,15.858000,15.858000,19094118
2023-06-19,15.784000,15.852000,15.684000,15.740000,15.740000,6017902
2023-06-20,15.630000,15.754000,15.340000,15.380000,15.380000,11502535
2023-06-21,15.422000,15.640000,15.366000,15.366000,15.366000,6916847
2023-06-22,15.250000,15.268000,14.996000,15.224000,15.224000,10448454
2023-06-23,15.138000,15.202000,15.014000,15.116000,15.116000,7172203
2023-06-26,15.186000,15.302000,14.896000,15.184000,15.184000,6793852
2023-06-27,15.300000,15.348000,15.056000,15.314000,15.314000,6603752
2023-06-28,15.428000,15.504000,15.342000,15.470000,15.470000,6375105
2023-06-29,15.552000,16.162001,15.532000,16.020000,16.020000,17456515
2023-06-30,16.094000,16.184000,16.025999,16.090000,16.090000,10384734
2023-07-03,16.166000,16.388000,16.162001,16.292000,16.292000,9375062
2023-07-04,16.358000,16.410000,16.112000,16.256001,16.256001,5279413
2023-07-05,16.101999,16.292000,16.062000,16.160000,16.160000,8260448
2023-07-06,16.059999,16.242001,15.820000,15.878000,15.878000,11240630
2023-07-07,15.938000,16.240000,15.802000,16.208000,16.208000,9476409
2023-07-10,16.164000,16.388000,16.114000,16.266001,16.266001,7228050
2023-07-11,16.360001,16.396000,16.167999,16.344000,16.344000,6467031
2023-07-12,16.490000,16.790001,16.379999,16.728001,16.728001,14162649
2023-07-13,16.808001,16.898001,16.691999,16.812000,16.812000,8435263
2023-07-14,16.820000,16.837999,16.656000,16.705999,16.705999,5899088
2023-07-17,16.670000,16.730000,16.542000,16.604000,16.604000,6404556
2023-07-18,16.549999,16.664000,16.507999,16.604000,16.604000,5678477
2023-07-19,16.688000,16.750000,16.506001,16.590000,16.590000,6011138
2023-07-20,16.496000,16.702000,16.450001,16.660000,16.660000,6122923
2023-07-21,16.648001,16.728001,16.459999,16.510000,16.510000,6936458
2023-07-24,16.464001,16.818001,16.452000,16.775999,16.775999,7109803
2023-07-25,16.898001,17.000000,16.730000,16.785999,16.785999,8897952
2023-07-26,17.000000,17.384001,16.775999,17.230000,17.230000,22417006
2023-07-27,17.400000,18.186001,17.312000,18.148001,18.148001,26166721
2023-07-28,18.106001,18.688000,18.059999,18.580000,18.580000,20082108
2023-07-31,18.690001,18.879999,18.587999,18.643999,18.643999,15437667
2023-08-01,18.563999,18.624001,18.072001,18.294001,18.294001,15425954
2023-08-02,18.000000,18.167999,17.785999,18.056000,18.056000,11604493
2023-08-03,17.968000,18.014000,17.764000,17.892000,17.892000,10532614
2023-08-04,18.011999,18.049999,17.761999,17.858000,17.858000,8928725
2023-08-07,17.750000,17.900000,17.636000,17.804001,17.804001,6801416
2023-08-08,17.472000,17.840000,17.365999,17.554001,17.554001,9271492
2023-08-09,17.704000,17.837999,17.396000,17.396000,17.396000,8177678
2023-08-10,17.562000,17.732000,17.431999,17.450001,17.450001,8216296
2023-08-11,17.238001,17.271999,16.794001,16.850000,16.850000,16122254
2023-08-14,16.827999,17.018000,16.698000,16.898001,16.898001,7733995
2023-08-16,16.549999,16.854000,16.506001,16.667999,16.667999,8389896
2023-08-17,16.598000,16.638000,16.410000,16.476000,16.476000,7981840
2023-08-18,16.309999,16.358000,16.153999,16.354000,16.354000,9934391
2023-08-21,16.309999,16.752001,16.309999,16.643999,16.643999,9118417
2023-08-22,16.846001,16.941999,16.705999,16.716000,16.716000,8069077
2023-08-23,16.775999,16.799999,16.604000,16.733999,16.733999,6291950
2023-08-24,16.902000,16.980000,16.511999,16.546000,16.546000,7091036
2023-08-25,16.520000,16.858000,16.472000,16.719999,16.719999,7526567
2023-08-28,16.941999,17.016001,16.782000,16.931999,16.931999,6607847
2023-08-29,17.048000,17.242001,16.930000,17.219999,17.219999,8358873
2023-08-30,17.250000,17.337999,17.101999,17.166000,17.166000,7113130
2023-08-31,17.136000,17.274000,17.080000,17.176001,17.176001,11569859
2023-09-01,17.062000,17.156000,16.743999,16.799999,16.799999,11666523
2023-09-04,16.924000,17.032000,16.774000,16.816000,16.816000,4504238
2023-09-05,16.700001,16.912001,16.580000,16.906000,16.906000,9174981
2023-09-06,16.982000,17.188000,16.884001,16.920000,16.920000,8703043
2023-09-07,16.900000,17.110001,16.889999,16.952000,16.952000,7200222
2023-09-08,17.021999,17.034000,16.664000,17.000000,17.000000,7100852
2023-09-11,17.132000,17.375999,17.115999,17.375999,17.375999,10739743
2023-09-12,17.500000,17.972000,17.468000,17.826000,17.826000,13811222
2023-09-13,17.690001,18.076000,17.660000,17.768000,17.768000,11288726
2023-09-14,17.726000,17.730000,17.480000,17.573999,17.573999,16709197
2023-09-15,17.674000,18.034000,17.268000,17.906000,17.906000,36133559
